org_name,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
WP_195785013.1,0.108356571,0.388815218,0.767386346,0.94142733,0.943900165,1,0.781754762,0.471468022,0.362173482,0.259567325,0.1770168,0.143643755,0.122541321,0.111725707,0.096339995
WP_238248443.1,0.17659159,0.331561395,0.615281839,0.818764804,0.928594456,1,0.813305346,0.521832217,0.41977163,0.327452431,0.245747009,0.208297658,0.187016182,0.186090917,0.166278138
WP_079545054.1,0.18759825,0.417571179,0.73165768,0.900781377,0.950950652,1,0.812734132,0.519920449,0.416560604,0.315199913,0.237450749,0.203951276,0.18431049,0.168242265,0.159003517
WP_079587042.1,0.117181308,0.415041038,0.752769278,0.901100353,0.943242736,1,0.840967378,0.552749374,0.447078574,0.313017189,0.205955309,0.150815504,0.117081583,0.100299008,0.079919632
SIO63612.1,0.128478845,0.434911041,0.741875921,0.863679526,1,0.931937855,0.809101455,0.575761836,0.465746269,0.342789478,0.227356058,0.162988949,0.123170502,0.10125371,0.076484431
WP_247388182.1,0.156292234,0.408587969,0.73948895,0.906523755,0.931088818,1,0.828122555,0.543374996,0.431247774,0.312844488,0.227959402,0.18473321,0.159548883,0.145515003,0.129046148
WP_244044660.1,0.26015978,0.244910656,0.517680372,0.712449809,0.79724451,1,0.881144643,0.594578441,0.57621635,0.507863537,0.431507137,0.40253369,0.405334167,0.410818714,0.368869834
GJE62343.1,0.33171082,0.285358515,0.507753364,0.678680956,0.782514347,1,0.903772157,0.629960436,0.641087552,0.581458744,0.51336266,0.479628075,0.492109608,0.510360864,0.453650176
TMK40006.1,0.115454319,0.449296979,0.752200828,0.926789678,0.95160216,1,0.815874969,0.512398793,0.378360384,0.259606043,0.175527741,0.126451911,0.103191944,0.090168156,0.077639976
WP_244046185.1,0.147303863,0.318409258,0.63796614,0.827649096,0.886839566,1,0.807957378,0.52000915,0.40384065,0.302137784,0.222477734,0.182754804,0.162214863,0.157948077,0.138099528
WP_213335360.1,0.583042579,0.628552731,0.684310919,0.739782782,0.991746493,0.795123644,0.77129908,0.715881981,0.685660652,0.660431491,0.610062347,0.592631292,0.589193028,0.586188503,0.608346776
WP_209484725.1,0.098232277,0.601693087,0.905836513,0.962270936,0.957250968,0.581824781,0.430479503,0.28544336,0.203223791,0.156291071,0.121854343,0.104225846,0.09419488,0.097072166,0.09799793
WP_024280438.1,0.051892808,0.653557621,0.944238667,1,0.925447666,0.621196789,0.432512828,0.277481149,0.176908987,0.122533219,0.08269123,0.058820935,0.046547377,0.043331143,0.043222424
WP_169124009.1,0.073540302,0.55428771,0.838959355,0.946444824,1,0.940178797,0.759084856,0.468869866,0.322824029,0.210434387,0.127173272,0.088512987,0.067015091,0.058372628,0.050749018
EBQ49083.1,0.638804467,0.72718104,0.756635708,0.81999355,0.979145814,0.850421817,0.79955279,0.723172501,0.729288579,0.703072357,0.680069201,0.645480249,0.633464861,0.605844316,0.601012899
WP_176948893.1,0.872811068,0.854585577,0.844602055,0.877121695,0.943358701,0.957078116,0.930021717,0.920676231,0.876844134,0.865439767,0.842340906,0.8119643,0.80734894,0.815446094,0.814450136
WP_234939477.1,0.792018065,0.767058561,0.799288005,0.843755666,0.954442473,0.98892514,0.981713174,0.907933362,0.905974389,0.857421865,0.816174876,0.782878151,0.785885547,0.849168054,0.863798799
WP_034851158.1,0.764292862,0.813410002,0.840007978,0.857111269,0.917225693,0.986404295,0.893345733,0.89714257,0.868849578,0.823162303,0.80815752,0.785955385,0.76302084,0.79413613,0.766852983
WP_069461588.1,0.60206378,0.66293267,0.798876199,0.885503042,0.937333151,1,0.891642186,0.79569239,0.760793459,0.71791927,0.664261381,0.6051566,0.595973231,0.611876176,0.57757818
WP_183801115.1,0.296445367,0.22004152,0.466054593,0.653037381,0.774102727,1,0.914427567,0.623100598,0.6301795,0.582376305,0.494159713,0.469735709,0.466840931,0.487165329,0.434852016
WP_097142523.1,0.276879826,0.527325821,0.769010807,0.91491899,0.950402262,1,0.818951721,0.595220486,0.48917779,0.394629882,0.321350387,0.288770175,0.27088492,0.270192363,0.280751171
