iterations,js_dist,trial,candidate_id,actual_score,predicted_mean,predicted_sd,algorithm
83,0.05604115757370316,16,thermosipho_melanesiensis,5.523780788,5.244432739872683,0.5642304922264723,TreeGazer UCB
84,0.054840867483917866,16,effusibacillus_pohliae,5.378378857,5.2496967445830025,0.556575936584977,TreeGazer UCB
85,0.05501197804208147,16,sphingopyxis_alaskensis,5.151833888,4.992192403610718,0.6174837293620358,TreeGazer UCB
86,0.05361610326688672,16,streptomonospora_alba,4.014499859,5.263295695036435,0.5380284097920427,TreeGazer UCB
87,0.05566939936821786,16,streptococcus_pneumoniae,4.853346831,5.229529794719557,0.5563873186297297,TreeGazer UCB
88,0.05951411505096739,16,acidimicrobium_ferrooxidans,5.18230196,5.210834203995695,0.5442790950053914,TreeGazer UCB
89,0.05874275830531737,16,deinococcus_deserti,5.552638424,5.272585337647067,0.5351112472825861,TreeGazer UCB
90,0.057030890431197266,16,methylocella_silvestris,5.06211949,4.997664216696824,0.5920310526411947,TreeGazer UCB
91,0.05722330013980099,16,bacillus_cereus,5.482398733,5.248791952721914,0.5286415543606592,TreeGazer UCB
92,0.05614576583608609,16,neisseria_gonorrhoeae,5.160282555,5.250000076121252,0.5311073043456841,TreeGazer UCB
